Frame;DeltaTime;FPS
0;0.0339641;29
1;0.0275528;36
2;0.031618;32
3;0.0290596;34
4;0.0309709;32
5;0.0301666;33
6;0.0302802;33
7;0.0305271;33
8;0.0311092;32
9;0.0310318;32
10;0.030604;33
11;0.0297768;34
12;0.0302795;33
13;0.0304387;33
14;0.0304931;33
15;0.0310163;32
16;0.0301568;33
17;0.030415;33
18;0.0304296;33
19;0.0302393;33
20;0.0309929;32
21;0.0300637;33
22;0.0303731;33
23;0.0304342;33
24;0.0302514;33
25;0.0303797;33
26;0.0302383;33
27;0.0304359;33
28;0.0309958;32
29;0.0303127;33
30;0.0308157;32
31;0.0298606;33
32;0.0292731;34
33;0.0314899;32
34;0.0303401;33
35;0.0303587;33
36;0.0308484;32
37;0.0300018;33
38;0.0303913;33
39;0.0305738;33
40;0.0305688;33
41;0.0323101;31
42;0.0298668;33
43;0.0316907;32
44;0.0310672;32
45;0.0331504;30
46;0.0310519;32
47;0.0285048;35
48;0.0350005;29
49;0.0279548;36
50;0.0297185;34
51;0.0315265;32
52;0.0312083;32
53;0.0305068;33
54;0.0311674;32
55;0.030626;33
56;0.0321199;31
57;0.0320316;31
58;0.0296991;34
59;0.0322659;31
60;0.0304234;33
61;0.0306209;33
62;0.0309125;32
63;0.0320754;31
64;0.0315361;32
65;0.0313137;32
66;0.0298323;34
67;0.0278937;36
68;0.0316928;32
69;0.031593;32
70;0.0328427;30
71;0.0300257;33
72;0.0371;27
73;0.0258995;39
74;0.0317689;31
75;0.0305756;33
76;0.0282468;35
77;0.0331235;30
78;0.0312493;32
79;0.0277897;36
80;0.0301997;33
81;0.0309745;32
82;0.0326682;31
83;0.0345888;29
84;0.0268507;37
85;0.0314584;32
86;0.0308816;32
87;0.0318193;31
88;0.0308838;32
89;0.0275148;36
90;0.0300403;33
91;0.0302959;33
92;0.0313368;32
93;0.031071;32
94;0.0299068;33
95;0.0318637;31
96;0.0305906;33
97;0.0303274;33
98;0.0302607;33
99;0.0309436;32
