Frame;DeltaTime;FPS
0;0.0141301;71
1;0.0121847;82
2;0.0135979;74
3;0.0139938;71
4;0.0125194;80
5;0.0134565;74
6;0.0116619;86
7;0.013451;74
8;0.012998;77
9;0.0147421;68
10;0.0112394;89
11;0.0123768;81
12;0.0127649;78
13;0.013828;72
14;0.0134049;75
15;0.0117283;85
16;0.0126084;79
17;0.0138715;72
18;0.0130208;77
19;0.0131554;76
20;0.0121183;83
21;0.0127368;79
22;0.0132992;75
23;0.0138467;72
24;0.012267;82
25;0.0132515;75
26;0.0122721;81
27;0.0137105;73
28;0.0126256;79
29;0.0127341;79
30;0.0143849;70
31;0.0131353;76
32;0.0126589;79
33;0.0122899;81
34;0.013183;76
35;0.0132073;76
36;0.0139352;72
37;0.0139992;71
38;0.0116387;86
39;0.0133699;75
40;0.0126291;79
41;0.0133902;75
42;0.0152219;66
43;0.0102371;98
44;0.0132162;76
45;0.0132768;75
46;0.0136269;73
47;0.0129958;77
48;0.0120685;83
49;0.0131995;76
50;0.0131692;76
51;0.0121999;82
52;0.0128363;78
53;0.0158499;63
54;0.010609;94
55;0.0136732;73
56;0.0120764;83
57;0.0125196;80
58;0.0142677;70
59;0.0142984;70
60;0.0106183;94
61;0.0126419;79
62;0.012857;78
63;0.0133405;75
64;0.0152601;66
65;0.0106312;94
66;0.0124728;80
67;0.0131174;76
68;0.0135331;74
69;0.0140147;71
70;0.010331;97
71;0.0129419;77
72;0.0138052;72
73;0.012236;82
74;0.0126548;79
75;0.0145565;69
76;0.0120927;83
77;0.0128058;78
78;0.01213;82
79;0.012994;77
80;0.0138783;72
81;0.0124135;81
82;0.0130446;77
83;0.0123159;81
84;0.0127626;78
85;0.0146421;68
86;0.0136901;73
87;0.0115413;87
88;0.011289;89
89;0.0142082;70
90;0.0133373;75
91;0.0121852;82
92;0.0127215;79
93;0.0127254;79
94;0.0132743;75
95;0.013828;72
96;0.0128346;78
97;0.0114682;87
98;0.013151;76
99;0.0141803;71
