Frame;DeltaTime;FPS
0;0.0423817;24
1;0.0391634;26
2;0.0405019;25
3;0.0401522;25
4;0.0408944;24
5;0.0403693;25
6;0.0404547;25
7;0.0404384;25
8;0.0406627;25
9;0.04052;25
10;0.0404183;25
11;0.040575;25
12;0.0403607;25
13;0.0404227;25
14;0.0406672;25
15;0.0401703;25
16;0.0406636;25
17;0.0404277;25
18;0.0405308;25
19;0.0406795;25
20;0.0396675;25
21;0.0408238;24
22;0.0400406;25
23;0.0405919;25
24;0.0399875;25
25;0.040797;25
26;0.0400233;25
27;0.0405848;25
28;0.0404924;25
29;0.0405491;25
30;0.0408144;25
31;0.0412779;24
32;0.0397605;25
33;0.0407575;25
34;0.0406106;25
35;0.0404574;25
36;0.0408766;24
37;0.0403897;25
38;0.0411094;24
39;0.040817;24
40;0.0404562;25
41;0.0410923;24
42;0.0407011;25
43;0.040465;25
44;0.0404917;25
45;0.0404434;25
46;0.040818;24
47;0.0402915;25
48;0.0406173;25
49;0.039985;25
50;0.0407667;25
51;0.0401817;25
52;0.040318;25
53;0.0406799;25
54;0.0402022;25
55;0.0408225;24
56;0.0401932;25
57;0.0403448;25
58;0.0409674;24
59;0.0408962;24
60;0.0407594;25
61;0.0396282;25
62;0.0407157;25
63;0.0403902;25
64;0.0408955;24
65;0.0403085;25
66;0.0406919;25
67;0.0403961;25
68;0.0403722;25
69;0.0405585;25
70;0.0402935;25
71;0.0404995;25
72;0.0402984;25
73;0.0404795;25
74;0.0403796;25
75;0.0406073;25
76;0.0411234;24
77;0.0401085;25
78;0.0405784;25
79;0.0400866;25
80;0.0405697;25
81;0.0401424;25
82;0.0405596;25
83;0.0407601;25
84;0.0400077;25
85;0.0406487;25
86;0.040345;25
87;0.0404502;25
88;0.0399621;25
89;0.0412986;24
90;0.040652;25
91;0.0400085;25
92;0.0406537;25
93;0.040325;25
94;0.0402799;25
95;0.0403323;25
96;0.0405913;25
97;0.0403133;25
98;0.0405676;25
99;0.0419859;24
