Frame;DeltaTime;FPS
0;0.010322;97
1;0.0085514;117
2;0.0107294;93
3;0.0089822;111
4;0.0105503;95
5;0.0098353;102
6;0.0095482;105
7;0.0106026;94
8;0.0116087;86
9;0.0081867;122
10;0.0088618;113
11;0.011094;90
12;0.0089674;112
13;0.009664;103
14;0.0094572;106
15;0.0088157;113
16;0.0099398;101
17;0.0090131;111
18;0.0092597;108
19;0.0090936;110
20;0.0096822;103
21;0.0106348;94
22;0.0087535;114
23;0.0100027;100
24;0.0089528;112
25;0.009775;102
26;0.0108753;92
27;0.008664;115
28;0.0106647;94
29;0.0088542;113
30;0.0101917;98
31;0.0105937;94
32;0.0084403;118
33;0.01141;88
34;0.010999;91
35;0.0078723;127
36;0.0097015;103
37;0.0090139;111
38;0.0108099;93
39;0.0093688;107
40;0.0101826;98
41;0.0096876;103
42;0.0112275;89
43;0.0089727;111
44;0.0096939;103
45;0.0095073;105
46;0.0097367;103
47;0.0099782;100
48;0.0088346;113
49;0.0094339;106
50;0.0117654;85
51;0.0083646;120
52;0.0099966;100
53;0.0092095;109
54;0.0101678;98
55;0.0119321;84
56;0.0080483;124
57;0.0101948;98
58;0.0094229;106
59;0.0096253;104
60;0.0098469;102
61;0.0098748;101
62;0.0099484;101
63;0.0095222;105
64;0.0098183;102
65;0.0089707;111
66;0.0090049;111
67;0.0124519;80
68;0.0081073;123
69;0.0094554;106
70;0.0098956;101
71;0.0090892;110
72;0.0109794;91
73;0.0087734;114
74;0.0101584;98
75;0.0096305;104
76;0.0104175;96
77;0.0093814;107
78;0.0087381;114
79;0.0105135;95
80;0.0092159;109
81;0.0104675;96
82;0.0096258;104
83;0.0092971;108
84;0.0119175;84
85;0.0087349;114
86;0.0103119;97
87;0.0089801;111
88;0.0099923;100
89;0.0104075;96
90;0.0086662;115
91;0.0110643;90
92;0.0089889;111
93;0.0100191;100
94;0.0092218;108
95;0.0089684;112
96;0.0108926;92
97;0.0092497;108
98;0.0099408;101
99;0.0094536;106
