Frame;DeltaTime;FPS
0;0.0309385;32
1;0.0273953;37
2;0.028679;35
3;0.0289045;35
4;0.0287915;35
5;0.0280347;36
6;0.0286483;35
7;0.028722;35
8;0.0283159;35
9;0.0285399;35
10;0.0292832;34
11;0.0278698;36
12;0.0287428;35
13;0.0287197;35
14;0.0290745;34
15;0.0276684;36
16;0.0286582;35
17;0.0285912;35
18;0.0282505;35
19;0.0283233;35
20;0.0289193;35
21;0.0284167;35
22;0.0283526;35
23;0.0286251;35
24;0.0288375;35
25;0.0281275;36
26;0.0287999;35
27;0.0282738;35
28;0.0284173;35
29;0.0284036;35
30;0.0286631;35
31;0.0284903;35
32;0.0281469;36
33;0.0285498;35
34;0.028427;35
35;0.0284462;35
36;0.029194;34
37;0.0279725;36
38;0.0284165;35
39;0.02836;35
40;0.0287735;35
41;0.0286225;35
42;0.0288139;35
43;0.0280595;36
44;0.0286706;35
45;0.0283569;35
46;0.0282291;35
47;0.0290045;34
48;0.0285546;35
49;0.0283428;35
50;0.0286306;35
51;0.028837;35
52;0.0287385;35
53;0.0287428;35
54;0.0285659;35
55;0.0283423;35
56;0.0288531;35
57;0.0287052;35
58;0.0286815;35
59;0.0289187;35
60;0.0286042;35
61;0.0281342;36
62;0.0285518;35
63;0.0287991;35
64;0.0282386;35
65;0.0286699;35
66;0.0282796;35
67;0.0286667;35
68;0.0285893;35
69;0.0286365;35
70;0.028462;35
71;0.0296288;34
72;0.0274133;36
73;0.0284904;35
74;0.0283603;35
75;0.0289698;35
76;0.028573;35
77;0.0283829;35
78;0.0283322;35
79;0.0287806;35
80;0.0284798;35
81;0.0283472;35
82;0.029606;34
83;0.0285228;35
84;0.0281369;36
85;0.028624;35
86;0.028866;35
87;0.0287438;35
88;0.0285625;35
89;0.0286075;35
90;0.0282777;35
91;0.0287505;35
92;0.0282187;35
93;0.0286692;35
94;0.0289583;35
95;0.0279555;36
96;0.0285454;35
97;0.0287786;35
98;0.028658;35
99;0.0283966;35
