Frame;DeltaTime;FPS
0;0.229043;4
1;0.227873;4
2;0.23588;4
3;0.228556;4
4;0.228624;4
5;0.228625;4
6;0.234014;4
7;0.233332;4
8;0.227907;4
9;0.228721;4
10;0.228059;4
11;0.229171;4
12;0.228722;4
13;0.240422;4
14;0.228591;4
15;0.230022;4
16;0.230596;4
17;0.23078;4
18;0.228682;4
19;0.227832;4
20;0.228191;4
21;0.228189;4
22;0.228629;4
23;0.228208;4
24;0.227769;4
25;0.228754;4
26;0.233884;4
27;0.246556;4
28;0.227197;4
29;0.227622;4
30;0.228098;4
31;0.229053;4
32;0.228374;4
33;0.227858;4
34;0.228495;4
35;0.229227;4
36;0.228158;4
37;0.235666;4
38;0.234231;4
39;0.239534;4
40;0.249187;4
41;0.243802;4
42;0.239917;4
43;0.236746;4
44;0.248403;4
45;0.232307;4
46;0.230668;4
47;0.242961;4
48;0.245299;4
49;0.250211;4
50;0.249771;4
51;0.251083;4
52;0.242817;4
53;0.231862;4
54;0.231611;4
55;0.240535;4
56;0.238236;4
57;0.233575;4
58;0.231389;4
59;0.235839;4
60;0.238986;4
61;0.236681;4
62;0.236432;4
63;0.235635;4
64;0.236064;4
65;0.231754;4
66;0.228271;4
67;0.229154;4
68;0.22743;4
69;0.241812;4
70;0.242355;4
71;0.24109;4
72;0.236065;4
73;0.228992;4
74;0.228226;4
75;0.228131;4
76;0.22895;4
77;0.229501;4
78;0.229461;4
79;0.228395;4
80;0.228249;4
81;0.229179;4
82;0.230871;4
83;0.228023;4
84;0.228018;4
85;0.22794;4
86;0.228789;4
87;0.228591;4
88;0.227884;4
89;0.227437;4
90;0.228924;4
91;0.230083;4
92;0.227561;4
93;0.228176;4
94;0.228572;4
95;0.228192;4
96;0.227922;4
97;0.22856;4
98;0.228281;4
99;0.227737;4
