Frame;DeltaTime;FPS
0;0.228246;4
1;0.225135;4
2;0.22741;4
3;0.23221;4
4;0.23518;4
5;0.237927;4
6;0.235056;4
7;0.228516;4
8;0.227741;4
9;0.229801;4
10;0.226362;4
11;0.226725;4
12;0.229245;4
13;0.227065;4
14;0.22828;4
15;0.226492;4
16;0.230437;4
17;0.228272;4
18;0.228054;4
19;0.226493;4
20;0.228029;4
21;0.2293;4
22;0.227363;4
23;0.228001;4
24;0.226896;4
25;0.232151;4
26;0.228384;4
27;0.228197;4
28;0.227543;4
29;0.22709;4
30;0.229074;4
31;0.227996;4
32;0.228398;4
33;0.2263;4
34;0.228877;4
35;0.227664;4
36;0.228887;4
37;0.251363;4
38;0.229538;4
39;0.233103;4
40;0.240762;4
41;0.247534;4
42;0.273818;4
43;0.237477;4
44;0.255497;4
45;0.245561;4
46;0.238076;4
47;0.238081;4
48;0.239339;4
49;0.237328;4
50;0.236786;4
51;0.230458;4
52;0.237336;4
53;0.227212;4
54;0.229179;4
55;0.229046;4
56;0.226325;4
57;0.228097;4
58;0.227181;4
59;0.229238;4
60;0.228344;4
61;0.228058;4
62;0.226058;4
63;0.230382;4
64;0.229136;4
65;0.236558;4
66;0.228147;4
67;0.231365;4
68;0.230822;4
69;0.228068;4
70;0.23024;4
71;0.226552;4
72;0.227924;4
73;0.229288;4
74;0.228065;4
75;0.231326;4
76;0.227865;4
77;0.227429;4
78;0.227619;4
79;0.235882;4
80;0.238862;4
81;0.234867;4
82;0.228609;4
83;0.227375;4
84;0.227829;4
85;0.229492;4
86;0.228317;4
87;0.227188;4
88;0.233163;4
89;0.232044;4
90;0.228428;4
91;0.226762;4
92;0.227321;4
93;0.227807;4
94;0.229865;4
95;0.230454;4
96;0.229048;4
97;0.228492;4
98;0.231803;4
99;0.22763;4
